Lemma	POS	MeaningNumber	LemmaID	MeaningID	DefinitionFull	DefinitionShort	model_prediction	model_long_definition	bertscore_precision	bertscore_recall	bertscore_f1	comet22_score	cometkiwi_score	xcomet_score
afzuigkap	substantief	1.0	5320	5321	apparaat voor het wegzuigen van damp en nare luchtjes, met name de damp en de lucht die vrijkomen bij het bereiden van voedsel, in keukens en andere ruimtes	apparaat om weg te zuigen	Een afzuigkap is een apparaat waarmee vuil, stof en andere stoffen uit de lucht worden gezuiverd.	Een afzuigkap is een apparaat waarmee vuil, stof en andere stoffen uit de lucht worden gezuiverd.	0.7146268486976624	0.686266303062439	0.70015949010849	0.6970759034156799	0.6583035588264465	0.8014836311340332
agendaseks	substantief	1.0	213951	213952	seks waarvoor een stel speciaal een afspraak heeft gemaakt, omdat hun leven zo druk is door carrière en/of kinderen dat het er spontaan niet van komt	seks volgens afspraak	Lange definitie:'seks volgens afspraak'.	Lange definitie:'seks volgens afspraak'.	0.6730365753173828	0.6221436262130737	0.6465901732444763	0.446112722158432	0.4964173436164856	0.5021703243255615
agnoste	substantief	1.0	5394	5395	vrouw die het niet mogelijk acht om het bestaan of niet-bestaan van hogere machten aan te tonen	vrouwelijke agnost	Lange definitie: vrouw die het niet mogelijk acht om het bestaan of niet-bestaan van hogere machten aan te tonen	vrouw die het niet mogelijk acht om het bestaan of niet-bestaan van hogere machten aan te tonen	0.9999998807907104	0.9999998807907104	0.9999998807907104	0.9568044543266296	0.4681817293167114	0.9848967790603638
agressiecoach	substantief	1.0	5433	5434	coach die zich voor zijn beroep bezighoudt met het begeleiden van mensen die gemakkelijk agressief gedrag vertonen of die werknemers leert om te gaan met agressief gedrag op de werkvloer	coach die zich bezighoudt met agressieproblemen	Lange definitie: 'coach die zich bezighoudt met agressieproblemen'.	'coach die zich bezighoudt met agressieproblemen'.	0.7781318426132202	0.6956663131713867	0.7345919013023376	0.6218724846839905	0.6640922427177429	0.9117869138717651
agrotoerist	substantief	1.0	5466	5467	iemand die ter ontspanning of recreatie afreist naar het platteland om daar op een boerderij te verblijven en actief mee te helpen met de boer op het land	iemand die afreist naar en meehelpt op het platteland	Lange definitie: iemand die ter ontspanning of recreatie afreist naar het platteland om daar op een boerderij te verblijven.	iemand die ter ontspanning of recreatie afreist naar het platteland om daar op een boerderij te verblijven.	0.9442658424377441	0.8782209157943726	0.9100466370582581	0.8526225686073303	0.6533102989196777	0.9839432239532471
aha-effect	substantief	1.0	392378	497659	effect dat optreedt als men na lang nadenken ineens de oplossing van een probleem voor zich ziet	effect bij oplossing van een probleem	"Een aha-effect is een ervaring waarbij men door het roepen van ""aha!"" te kennen geeft plotseling de oplossing voor een probleem te zien."	"Een aha-effect is een ervaring waarbij men door het roepen van ""aha!"" te kennen geeft plotseling de oplossing voor een probleem te zien."	0.7099660634994507	0.7519874572753906	0.7303728461265564	0.6139883399009705	0.5869907140731812	0.49316495656967163
ajuus	tussenwerpsel	1.0	462343	650386	tussenwerpsel waarmee men afscheid neemt van iemand of van meerdere personen	als afscheidsgroet gebruikt woord	Het woord 'ajuus' is een tussenwerpsel waarmee men afscheid neemt van meerdere personen.	Het woord 'ajuus' is een tussenwerpsel waarmee men afscheid neemt van meerdere personen.	0.7829347848892212	0.842139482498169	0.8114587068557739	0.7212992906570435	0.40678346157073975	0.7840274572372437
akela	substantief	1.0	5540	5541	mannelijke of vrouwelijke groepsleider van een groep welpen bij de scouting	leider van een groep welpen	Een akela is een leider van een groep welpen.	Een akela is een leider van een groep welpen.	0.7431648969650269	0.6812002658843994	0.7108347415924072	0.7327948212623596	0.5492161512374878	0.7611973881721497
al zijn eieren in een mand leggen	verbinding	1.0	911909	911910	al zijn geld in een onderneming investeren	alles op een en hetzelfde doel richten	De volledige definitie van het woord 'al zijn eieren in een mand leggen' is: 'alles op een en hetzelfde doel richten'.	De volledige definitie van het woord 'al zijn eieren in een mand leggen' is: 'alles op een en hetzelfde doel richten'.	0.6419627666473389	0.7087358236312866	0.6736987829208374	0.5801169276237488	0.7330835461616516	0.881044864654541
alarmpieper	substantief	1.0	5625	5626	pieper die afgaat bij alarmdiensten in het geval van een spoedsituatie of een andere alarmerende situatie	pieper die afgaat bij alarmdiensten	Een alarmpieper is een geluidssignaal dat wordt afgespeeld wanneer er een alarm wordt geslagen.	Een alarmpieper is een geluidssignaal dat wordt afgespeeld wanneer er een alarm wordt geslagen.	0.7019641399383545	0.6950777173042297	0.6985039710998535	0.7017265558242798	0.6928392648696899	0.9347389936447144
alarmpieper	substantief	2.0	5625	5627	pieper waarmee iemand in het geval van een spoedsituatie alarm kan slaan, bv. als hij bedreigd of aangevallen wordt	pieper om alarm mee te slaan	Een alarmpieper is een geluidssignaal waarmee alarm wordt geslagen.	Een alarmpieper is een geluidssignaal waarmee alarm wordt geslagen.	0.7043370008468628	0.665290117263794	0.6842569708824158	0.6381894946098328	0.7072430849075317	0.9269267916679382
Albanees	substantief	2.0	5641	5642	iemand die behoort tot het Albanese volk	iemand uit Albanië	iemand die behoort tot het Albanese volk	iemand die behoort tot het Albanese volk	0.9999998807907104	0.9999998807907104	0.9999998807907104	0.9879898428916931	0.8653333187103271	1.0
Albanees	substantief	3.0	5641	5643	iemand die afkomstig is uit Albanië en omstreken (Kosovo, het westen van Macedonië of het aangrenzende deel van Griekenland)	lid van het Albanese volk	Een Albanees is iemand die uit Albanië komt en behoort tot het Albanese volk.	Een Albanees is iemand die uit Albanië komt en behoort tot het Albanese volk.	0.7682412266731262	0.705999493598938	0.735806405544281	0.6901119351387024	0.8245545625686646	0.6659926176071167
alcoholpreventie	substantief	1.0	5749	5750	het gericht nemen van maatregelen en/of het doelbewust in acht nemen daarvan om overmatig gebruik van alcohol te voorkomen	preventie van overmatig alcoholgebruik	Lange definitie: preventie van overmatig alcoholgebruik	preventie van overmatig alcoholgebruik	0.7909024953842163	0.656193733215332	0.7172781825065613	0.8230478763580322	0.8580090999603271	0.9131404161453247
aldaar	bijwoord	1.0	5798	5799	op de eerder genoemde plaats als verwijzing naar een aangegeven plaats of onderdeel in een boek, artikel, website e.d.	op de eerder genoemde plaats als verwijzing in een boek of artikel	Lange definitie: op de eerder genoemde plaats als verwijzing in een boek of artikel	op de eerder genoemde plaats als verwijzing in een boek of artikel	0.9150077104568481	0.8225456476211548	0.866316556930542	0.8493261933326721	0.7225367426872253	0.9640921354293823
aldaar	bijwoord	1.1	5798	933543	als verwijzing naar een aangegeven plaats of onderdeel in een boek, artikel, website e.d.	als verwijzing in een boek of artikel	Lange definitie: 'als verwijzing in een boek of artikel'	'als verwijzing in een boek of artikel'	0.8531264662742615	0.7836164236068726	0.8168954849243164	0.811212420463562	0.7902196645736694	0.9404500126838684
alfabetisch	adjectief	1.0	5827	5828	gerangschikt volgens het alfabet, van a naar z	gerangschikt volgens het alfabet	Het woord 'alfabetisch' heeft een lange definitie: 'gerangschikt volgens het alfabet'.	Het woord 'alfabetisch' heeft een lange definitie: 'gerangschikt volgens het alfabet'.	0.6887280344963074	0.7163516283035278	0.7022683620452881	0.7165593504905701	0.7858656644821167	0.8764714002609253
Algerijns restaurant	verbinding	1.0	908733	908734	restaurant dat gespecialiseerd is in de Algerijnse keuken	restaurant met Algerijnse keuken	restaurant dat gespecialiseerd is in de Algerijnse keuken	restaurant dat gespecialiseerd is in de Algerijnse keuken	0.9999999403953552	0.9999998807907104	0.9999999403953552	0.9861913919448853	0.8757752180099487	1.0
alkaloïde	substantief	1.0	5914	5915	stikstofhoudende verbinding die behoort tot een groep van plantaardige basen, zoals cafeïne, cocaïne, morfine en nicotine	stikstofhoudende verbinding	Een alkaloïde is een stikstofhoudende verbinding.	Een alkaloïde is een stikstofhoudende verbinding.	0.7325882911682129	0.6670069694519043	0.6982611417770386	0.546235978603363	0.7839974761009216	0.8914880752563477
alleenpinnenkassa	substantief	1.0	308871	308873	kassa waar men alleen kan pinnen	kassa alleen voor pinbetalingen	Een alleenpinnenkassa is een kassa waar alleen pinbetalingen mogelijk zijn.	Een alleenpinnenkassa is een kassa waar alleen pinbetalingen mogelijk zijn.	0.7191575169563293	0.7498158812522888	0.7341667413711548	0.8671685457229614	0.7657641172409058	0.9570865631103516
allemansvriend	substantief	1.0	6002	6003	iemand die met iedereen vriendschap wil onderhouden dier dat niet eenkennig is, maar vriendelijk is tegenover iedereen zaak die bij iedereen geliefd is	iemand die iedereen te vriend houdt dier dat niet eenkennig is iets wat bij iedereen geliefd is	Allemansvriend is iemand die iedereen te vriend houdt. Het is een dier dat niet eenkennig is en iets wat bij iedereen geliefd is.	Allemansvriend is iemand die iedereen te vriend houdt. Het is een dier dat niet eenkennig is en iets wat bij iedereen geliefd is.	0.7878396511077881	0.8092021346092224	0.7983779311180115	0.8290920853614807	0.5608224868774414	0.8869864344596863
allemansvriend	substantief	1.1	6002	513475	dier dat niet eenkennig is, maar vriendelijk is tegenover iedereen	dier dat niet eenkennig is	Allemansvriend is een dier dat niet eenkennig is.	Allemansvriend is een dier dat niet eenkennig is.	0.7440873384475708	0.7586003541946411	0.7512737512588501	0.7992425560951233	0.41344571113586426	0.9305185079574585
allemansvriend	substantief	1.2	6002	513486	iets wat bij iedereen in de smaak valt	iets wat bij iedereen geliefd is	Allemansvriend is iemand of iets dat bij iedereen geliefd is.	Allemansvriend is iemand of iets dat bij iedereen geliefd is.	0.729672372341156	0.7783201932907104	0.7532116174697876	0.6953511834144592	0.6273578405380249	0.8392475843429565
allesbeheersend	adjectief	1.0	410056	515683	alle genoemde zaken, het geheel van het genoemde of bedoelde beheersend	totaal beheersend	Het woord 'allesbeheersend' heeft een langere definitie: alle genoemde zaken, het geheel van het genoemde of bedoelde beheersend.	Het woord 'allesbeheersend' heeft een langere definitie: alle genoemde zaken, het geheel van het genoemde of bedoelde beheersend.	0.7645010948181152	0.9139741659164429	0.8325821161270142	0.782737135887146	0.4739360511302948	0.8346313834190369
allesbrander	substantief	1.0	6087	6088	kachel, haard - soms ook oven - die met uiteenlopende vaste stoffen zoals kolen, hout, papier, turf e.d. gestookt kan worden, maar bij voorkeur niet met synthetische materialen zoals plastic	kachel die met (bijna) alles gestookt kan worden	Een allesbrander is een kachel die met (bijna) alles gestookt kan worden.	Een allesbrander is een kachel die met (bijna) alles gestookt kan worden.	0.752052903175354	0.6325758099555969	0.6871595978736877	0.5578369498252869	0.598971426486969	0.8551997542381287
allesverzengend	adjectief	1.0	6097	6098	door schroeien, verschroeien ( zengen ) geheel aangetast, bedorven, beschadigd rakend	door zengen geheel vernietigd wordend	Lange definitie: door zengen geheel vernietigd wordend	door zengen geheel vernietigd wordend	0.7659865617752075	0.675950288772583	0.7181574702262878	0.6305676102638245	0.41000261902809143	0.6341418027877808
allesverzengend	adjectief	2.0	6097	515920	als het ware door schroeien, verschroeien ( zengen ) geheel verteerd, vernietigd wordend	(fig.) totaal verwoestend	Het woord 'allesverzengend' betekent '(fig.) totaal verwoestend'.	Het woord 'allesverzengend' betekent '(fig.) totaal verwoestend'.	0.6491925120353699	0.6331347227096558	0.6410630941390991	0.5046539902687073	0.4944712519645691	0.6392754912376404
all-inhotel	substantief	1.0	191773	191774	hotel waar de gasten tegen betaling van het zogenoemde all-intarief niet alleen kunnen slapen en eten, maar ook gebruik kunnen maken van allerlei recreatieve voorzieningen zodat zij zich kunnen vermaken zonder het hotel te hoeven verlaten	hotel met vele voorzieningen	Een all-inhotel is een hotel dat alles inbegrepen heeft, inclusief ontbijt, lunch en diner.	Een all-inhotel is een hotel dat alles inbegrepen heeft, inclusief ontbijt, lunch en diner.	0.6864256262779236	0.632333517074585	0.6582701802253723	0.6054107546806335	0.8015166521072388	0.9187873005867004
allodoxafobie	substantief	1.0	981353	981356	zeer sterke angst voor meningen van anderen en de eventueel daaruit voortvloeiende conflicten	sterke angst voor andermans mening	Lange definitie:'sterke angst voor andermans mening'.	Lange definitie:'sterke angst voor andermans mening'.	0.7117950916290283	0.6686721444129944	0.6895601153373718	0.5645005106925964	0.7252305150032043	0.8389731049537659
alloseksueel	adjectief	1.0	971197	981369	zich (seksueel) aangetrokken voelend tot anderen of in staat om zich aangetrokken tot anderen te voelen	aangetrokken tot anderen	Het woord 'alloseksueel' betekent 'aangetrokken tot anderen'. Het wordt gebruikt om iemand te beschrijven die zich aangetrokken voelt tot iemand anders dan zichzelf. Het wordt ook gebruikt om iemand te beschrijven die zich aangetrokken voelt tot iemand anders dan zichzelf. Het woord 'alloseksueel' wordt gebruikt om iemand te beschrijven die zich aangetrokken voelt tot iemand anders dan zichzelf. Het wordt ook gebruikt om iemand te beschrijven die zich aangetrokken voelt tot iemand anders dan zichzelf. Het woord 'alloseksueel' wordt gebruikt om iemand te beschrijven die zich aangetrokken voelt tot iemand anders dan zichzelf. Het wordt ook gebruikt om iemand te beschrijven die zich aangetrokken voelt tot iemand anders dan zichzelf. Het woord 'alloseksueel' wordt gebruikt om iemand te beschrijven die zich aangetrokken voelt tot iemand anders dan zichzelf. Het wordt ook gebruikt om iemand te beschrijven die zich aangetrokken voelt tot iemand anders dan zichzelf. Het woord 'alloseksueel' wordt gebruikt om iemand te beschrijven die zich aangetrokken voelt tot iemand anders dan zichzelf. Het wordt ook gebruikt om iemand te beschrijven die zich aangetrokken voelt tot iemand anders dan zichzelf. Het woord 'alloseksueel' wordt gebruikt om iemand te beschrijven die zich aangetrokken 	Het woord 'alloseksueel' betekent 'aangetrokken tot anderen'. Het wordt gebruikt om iemand te beschrijven die zich aangetrokken voelt tot iemand anders dan zichzelf. Het wordt ook gebruikt om iemand te beschrijven die zich aangetrokken voelt tot iemand anders dan zichzelf. Het woord 'alloseksueel' wordt gebruikt om iemand te beschrijven die zich aangetrokken voelt tot iemand anders dan zichzelf. Het wordt ook gebruikt om iemand te beschrijven die zich aangetrokken voelt tot iemand anders dan zichzelf. Het woord 'alloseksueel' wordt gebruikt om iemand te beschrijven die zich aangetrokken voelt tot iemand anders dan zichzelf. Het wordt ook gebruikt om iemand te beschrijven die zich aangetrokken voelt tot iemand anders dan zichzelf. Het woord 'alloseksueel' wordt gebruikt om iemand te beschrijven die zich aangetrokken voelt tot iemand anders dan zichzelf. Het wordt ook gebruikt om iemand te beschrijven die zich aangetrokken voelt tot iemand anders dan zichzelf. Het woord 'alloseksueel' wordt gebruikt om iemand te beschrijven die zich aangetrokken voelt tot iemand anders dan zichzelf. Het wordt ook gebruikt om iemand te beschrijven die zich aangetrokken voelt tot iemand anders dan zichzelf. Het woord 'alloseksueel' wordt gebruikt om iemand te beschrijven die zich aangetrokken 	0.5665327310562134	0.6581533551216125	0.6089158654212952	0.5608232021331787	0.7510631084442139	0.538629949092865
alloseksueel	substantief	2.0	971197	981370	iemand die in staat is zich (seksueel) aangetrokken te voelen tot anderen	iemand aangetrokken tot anderen	Lange definitie: iemand die zich aangetrokken voelt tot anderen dan tot zichzelf.	iemand die zich aangetrokken voelt tot anderen dan tot zichzelf.	0.8376824855804443	0.7883347272872925	0.8122597336769104	0.6989578604698181	0.8095383644104004	0.92677903175354
alp	substantief	1.0	6178	6179	berg die behoort tot de Alpen	berg uit de Alpen	Lange definitie: berg in de Alpen	berg in de Alpen	0.8560785055160522	0.799179196357727	0.826650857925415	0.8352841138839722	0.542620837688446	1.0
Alphense	substantief	1.0	6196	6197	vrouw uit Alphen, te weten Alphen aan den Rijn in Zuid-Holland, Alphen aan de Maas in de provincie Gelderland of uit het dorp Alphen in de gemeente Alphen-Chaam in de Nederlandse provincie Noord-Brabant	vrouw uit Alphen	Lange definitie: vrouw die afkomstig is uit Alphen aan den Rijn	vrouw die afkomstig is uit Alphen aan den Rijn	0.8004120588302612	0.6823737025260925	0.7366946339607239	0.550359845161438	0.846759557723999	0.6404668688774109
als een blind paard	verbinding	1.0	924410	924412	kritiekloos en in blind vertrouwen	blindelings	'blindelings' betekent zonder nadenken of overwegen iets te doen.	'blindelings' betekent zonder nadenken of overwegen iets te doen.	0.6454592347145081	0.6557644605636597	0.6505709886550903	0.5666754841804504	0.8197179436683655	0.7873874306678772
als een blind paard	verbinding	2.0	924410	924413	zonder nadenken of overleg, waarbij men alles van het toeval laat afhangen	lukraak	waarbij men alles van het toeval laat afhangen	waarbij men alles van het toeval laat afhangen	0.9548109769821167	0.8432567715644836	0.8955733776092529	0.8528505563735962	0.5814085602760315	0.9782522916793823
als een dief in de nacht	verbinding	1.0	903216	903217	stil en omzichtig om geen aandacht te trekken	heimelijk	'als een dief in de nacht' betekent's nachts'.	'als een dief in de nacht' betekent's nachts'.	0.5881338715553284	0.5932084321975708	0.5906602144241333	0.29174792766571045	0.3050461709499359	0.5409996509552002
als een koude douche komen	verbinding	1.0	911542	911550	iets als buitengewoon onprettig, onaangenaam ervaren	iets als een grote tegenvaller beschouwen	Als een koude douche komen betekent iets als een grote tegenvaller beschouwen.	Als een koude douche komen betekent iets als een grote tegenvaller beschouwen.	0.634947657585144	0.6350301504135132	0.6349889039993286	0.4192180633544922	0.4547489881515503	0.6596877574920654
als een wild beest	verbinding	1.0	910658	910659	op een mensonwaardige manier	op beestachtige wijze	De volledige definitie is: op een mensonwaardige manier.	De volledige definitie is: op een mensonwaardige manier.	0.7926918864250183	0.9322612285614014	0.8568301200866699	0.7278620600700378	0.5429179668426514	0.942799985408783
altcoin	substantief	1.0	533548	533549	virtuele munt waarmee men online voor producten en diensten kan betalen en kan speculeren op de beurs en die als een alternatief voor de bitcoin geldt	virtuele munt	Lange definitie: digitale munt die bestaat uit een databestand dat een bepaalde waarde vertegenwoordigt en waarmee op internet voor producten en diensten betaald kan worden, waarbij bij een geldtransactie gebruikgemaakt wordt van versleutelde informatie en die vaak gebruikt wordt als alternatieve munt voor de reguliere geldsoorten	digitale munt die bestaat uit een databestand dat een bepaalde waarde vertegenwoordigt en waarmee op internet voor producten en diensten betaald kan worden, waarbij bij een geldtransactie gebruikgemaakt wordt van versleutelde informatie en die vaak gebruikt wordt als alternatieve munt voor de reguliere geldsoorten	0.7285658717155457	0.7853747606277466	0.755904495716095	0.7704116702079773	0.8087031841278076	0.7721565365791321
alternatief feit	substantief	1.0	964163	964503	gegeven dat ten onrechte als objectieve, vaststaande waarheid of werkelijkheid wordt gepresenteerd	iets waarvan de waarheid niet vaststaat	Een alternatief feit is iets waarvan de waarheid niet vaststaat.	Een alternatief feit is iets waarvan de waarheid niet vaststaat.	0.6875500679016113	0.683992862701416	0.685766875743866	0.7240836024284363	0.6489920616149902	0.8739688396453857
alzheimerpatiënt	substantief	1.0	6345	6346	iemand die aan de ziekte van Alzheimer lijdt	iemand die aan Altzheimer lijdt	Lange definitie: iemand die aan de ziekte van Altzheimer lijdt	iemand die aan de ziekte van Altzheimer lijdt	0.8579517602920532	0.9322741031646729	0.8935701847076416	0.9175568222999573	0.8640126585960388	0.9824000597000122
amandelvormig	adjectief	1.0	6368	6369	de vorm van een amandel hebbend	met de vorm van een amandel	Lange definitie: de vorm van een amandel hebbend	de vorm van een amandel hebbend	1.0	1.0	1.0	0.985693633556366	0.692473292350769	1.0
amateurploeg	substantief	1.0	6448	6449	sportploeg die uit amateurs bestaat	amateurteam	Een amateurploeg is een voetbalteam dat uit amateurspelers bestaat.	Een amateurploeg is een voetbalteam dat uit amateurspelers bestaat.	0.740889310836792	0.8013948798179626	0.7699551582336426	0.8620365262031555	0.8313242197036743	1.0
amateurvereniging	substantief	1.0	6470	6471	vereniging waar amateursport beoefend wordt	amateurclub	Een amateurclub is een club waar amateursport beoefend wordt.	Een amateurclub is een club waar amateursport beoefend wordt.	0.8083710670471191	0.889574408531189	0.8470309376716614	0.9046333432197571	0.7876759171485901	1.0
Ambonese	substantief	1.0	6577	6578	vrouw die behoort tot het Ambonese volk	vrouw uit Ambon	Lange definitie: vrouw die behoort tot het Ambonese volk	vrouw die behoort tot het Ambonese volk	1.0	1.0	1.0	0.97883141040802	0.7906283140182495	0.9999674558639526
Amelandse	substantief	1.0	6753	6754	vrouw die afkomstig is van het Nederlandse waddeneiland Ameland	vrouw uit Ameland	Lange definitie: vrouw die afkomstig is uit het Nederlandse dorp Ameland	vrouw die afkomstig is uit het Nederlandse dorp Ameland	0.9312609434127808	0.8737598657608032	0.9015945196151733	0.8398869037628174	0.861669659614563	0.9912000298500061
Amerikaanse	substantief	1.0	6785	6786	vrouw die afkomstig is uit de Verenigde Staten van Amerika	vrouw uit Amerika	Lange definitie: vrouw die afkomstig is uit de Verenigde Staten van Amerika	vrouw die afkomstig is uit de Verenigde Staten van Amerika	1.0	1.0	1.0	0.9804177284240723	0.8652092218399048	1.0
Amerikaanse alligator	verbinding	1.0	901394	901395	grote krokodilachtige met een tamelijk breed, plat lichaam met poten aan de zijkant, een geschubde huid, een lange staart en een lange bek met stompe snuit en veel tanden, die deels op het land en deels in het water woont in grote delen van Amerika	grote krokodilachtige in delen van Amerika	Lange definitie: krokodilachtig reptiel met een tamelijk breed, plat lichaam met poten aan de zijkant, een geschubde huid, een lange staart en een lange bek met stompe snuit en veel tanden, die deels op het land en deels in het water leeft in grote delen van Amerika	krokodilachtig reptiel met een tamelijk breed, plat lichaam met poten aan de zijkant, een geschubde huid, een lange staart en een lange bek met stompe snuit en veel tanden, die deels op het land en deels in het water leeft in grote delen van Amerika	0.9263650178909302	0.9307599067687988	0.928557276725769	0.8739967942237854	0.6472578644752502	0.9588428735733032
Amerikaanse bizon	verbinding	1.0	899602	899603	groot rund met een hoge schoft en een bruine vacht dat in het wild in kudden leeft in Noord-Amerika	Amerikaans wild rund	groot rund met een hoge schoft en een bruine vacht dat in het wild in kudden leeft in Noord-Amerika	groot rund met een hoge schoft en een bruine vacht dat in het wild in kudden leeft in Noord-Amerika	0.9999998807907104	0.9999997615814209	0.9999998211860657	0.9327651262283325	0.5526238083839417	0.9246774911880493
Amerikaanse cockerspaniël	verbinding	1.0	899438	899439	middelgrote jachthond met een smalle kop, relatief grote, afhangende ogen en laag aangezette, lange oren, met op zijn oren, lijf en poten vooral naar onderen toe veel lang, enigszins krullend haar	soort cockerspaniël	Lange definitie: middelgrote jachthond met een glanzende, zijdezachte vacht, relatief smalle kop en laag aangezette, langharige, lange oren die vanwege zijn vriendelijke karakter vaak gehouden wordt als huisdier	middelgrote jachthond met een glanzende, zijdezachte vacht, relatief smalle kop en laag aangezette, langharige, lange oren die vanwege zijn vriendelijke karakter vaak gehouden wordt als huisdier	0.8162745833396912	0.8120611310005188	0.8141624331474304	0.6863720417022705	0.6712619066238403	0.6911678314208984
Amsterdammer	substantief	1.0	6967	6968	inwoner van Amsterdam iemand die lid of aanhanger is van een sportclub, vereniging of andere groep uit Amsterdam	iemand uit Amsterdam lid e.d. van een club uit Amsterdam	Lange definitie: iemand die lid of aanhanger is van een sportclub, vereniging of andere groep uit Amsterdam	iemand die lid of aanhanger is van een sportclub, vereniging of andere groep uit Amsterdam	0.9727716445922852	0.9238635301589966	0.9476869702339172	0.9062948822975159	0.7712054252624512	0.9799093008041382
Amsterdammer	substantief	1.1	6967	530835	iemand die lid of aanhanger is van een sportclub, vereniging of andere groep uit Amsterdam	lid e.d. van een club uit Amsterdam	iemand die lid of aanhanger is van een sportclub, vereniging of andere groep uit Amsterdam	iemand die lid of aanhanger is van een sportclub, vereniging of andere groep uit Amsterdam	1.0	1.0	1.0	0.9708842635154724	0.8134938478469849	0.9966747760772705
anglicisme	substantief	1.0	7252	7253	woord dat of uitdrukking, zinsconstructie die eigen is aan het Engels, die letterlijk vertaald of gevormd naar het Nederlands (of een andere taal) wordt overgenomen en die beschouwd wordt als strijdig met het eigene van deze taal	onzuiver Engels taalelement	Een anglicisme is een woord dat of uitdrukking, zinsconstructie die eigen is aan een vreemde taal, die letterlijk vertaald of gevormd naar het Nederlands (of een andere taal) wordt overgenomen en die beschouwd wordt als strijdig met het eigene van deze taal.	Een anglicisme is een woord dat of uitdrukking, zinsconstructie die eigen is aan een vreemde taal, die letterlijk vertaald of gevormd naar het Nederlands (of een andere taal) wordt overgenomen en die beschouwd wordt als strijdig met het eigene van deze taal.	0.8777964115142822	0.9273867607116699	0.9019104242324829	0.8143672943115234	0.4617956578731537	0.7613494992256165
angorahamster	substantief	1.0	221930	221935	langharige Syrische hamster met een zachte, glanzende vacht	langharige Syrische hamster	Lange definitie: langharige Syrische hamster met een zachte, glanzende vacht	langharige Syrische hamster met een zachte, glanzende vacht	1.0	1.0	1.0	0.9682808518409729	0.8133112788200378	0.9991710186004639
annuïteit	substantief	1.0	7463	7464	vast bedrag dat jaarlijks betaald of ontvangen wordt gedurende een bepaalde periode, om een groot bedrag in kleinere betaalbare eenheden te splitsen vast bedrag dat men periodiek betaalt ter aflossing van een schuld, bv. een hypotheek, waarbij de rente naarmate de looptijd vordert minder wordt en de aflossing groter	jaarlijks betaald of ontvangen bedrag vast aflossingsbedrag	Lange definitie: 'jaarlijks betaald of ontvangen bedrag vast aflossingsbedrag'	'jaarlijks betaald of ontvangen bedrag vast aflossingsbedrag'	0.7740997076034546	0.6392796635627747	0.7002595067024231	0.5228443741798401	0.6795223951339722	0.5855410695075989
annuïteit	substantief	1.1	7463	7465	vast bedrag dat men periodiek betaalt ter aflossing van een schuld, bv. een hypotheek, waarbij de rente naarmate de looptijd vordert minder wordt en de aflossing groter	vast aflossingsbedrag	Een annuïteit is een financiële regeling waarbij een vast aflossingsbedrag wordt betaald over een bepaalde periode.	Een annuïteit is een financiële regeling waarbij een vast aflossingsbedrag wordt betaald over een bepaalde periode.	0.7392607927322388	0.6887772083282471	0.7131266593933105	0.7739099860191345	0.8183469772338867	0.8553425073623657
ANPR	substantief	1.0	964045	964047	technologie die gebruikmaakt van optische herkenning om automatisch voertuigkentekenplaten te lezen	automatische nummerplaatherkenning	ANPR staat voor 'automatische nummerplaatherkenning'.	ANPR staat voor 'automatische nummerplaatherkenning'.	0.6432435512542725	0.6245452165603638	0.6337565183639526	0.6673967242240906	0.7745871543884277	0.9525299072265625
anti-Belgisch	adjectief	1.0	7589	7590	met of getuigend van een afkeer van alles wat met België te maken heeft	tegen België	Lange definitie: met of getuigend van een afkeer van België	met of getuigend van een afkeer van België	0.9314212799072266	0.8351184129714966	0.8806448578834534	0.8451953530311584	0.5284842252731323	0.9045795202255249
anticonceptiemiddel	substantief	1.0	7674	7675	middel dat bedoeld is om zwangerschap te voorkomen	voorbehoedmiddel	middel dat bedoeld is om zwangerschap en/of een seksueel overdraagbare aandoening of geslachtsziekte te voorkomen	middel dat bedoeld is om zwangerschap en/of een seksueel overdraagbare aandoening of geslachtsziekte te voorkomen	0.7431221008300781	0.9305056929588318	0.8263238668441772	0.6348400712013245	0.7413256764411926	0.9632492065429688
anticorruptiewetgeving	substantief	1.0	352531	352532	wetgeving met betrekking tot het tegengaan, vervolgen en bestraffen van corruptie	wetgeving die corruptie tegengaat	Anticorruptiewetgeving is wetgeving met betrekking tot het tegengaan, vervolgen en bestraffen van corruptie.	Anticorruptiewetgeving is wetgeving met betrekking tot het tegengaan, vervolgen en bestraffen van corruptie.	0.8364534378051758	0.8940838575363159	0.8643090724945068	0.9383763670921326	0.8041732907295227	0.9893888235092163
anti-Duits	adjectief	1.0	7593	7594	met of getuigend van een afkeer van alles wat met Duitsland te maken heeft	tegen Duitsland	Lange definitie: van of tegen Duitsland	van of tegen Duitsland	0.7547447681427002	0.6391416788101196	0.6921494007110596	0.5970147252082825	0.49820300936698914	0.689964771270752
anti-islamitisch	adjectief	1.0	7609	7610	met of getuigend van een afkeer van alles wat met de islam te maken heeft	tegen de islam/islamieten	Lange definitie: 'tegen de islam/islamieten'	'tegen de islam/islamieten'	0.7533028721809387	0.6725877523422241	0.7106608152389526	0.453300803899765	0.6444538831710815	0.8748650550842285
