Lemma	POS	MeaningNumber	LemmaID	MeaningID	DefinitionFull	DefinitionShort	model_prediction	bertscore_precision	bertscore_recall	bertscore_f1	comet22_score	cometkiwi_score	xcomet_score
begindatum	substantief	1.0	14770	14771	datum waarop iets geacht wordt of werd te beginnen	datum waarop iets begint	datum waarop iets geacht wordt of werd te beginnen	1.0	1.0	1.0	0.9689831733703613	0.6675546169281006	0.9305599927902222
beginnersrijbewijs	substantief	1.0	200733	200900	rijbewijs voor beginnende bestuurders, bijvoorbeeld automobilisten en bromfietsers, dat meestal voor een periode van vijf jaar geldt en waarbij aangescherpte regels gelden met een daarbij horend puntensysteem, waarbij er in het geval van verkeersovertredingen strafpunten worden gegeven en het rijbewijs bij drie strafpunten wordt ingenomen	rijbewijs voor beginnende bestuurders	rijbewijs dat is bestemd voor beginnende bestuurders	0.8094888925552368	0.6378272771835327	0.7134779691696167	0.5274378657341003	0.7452408075332642	0.6531920433044434
bejaardenhelper	substantief	1.0	15282	15283	iemand die voor zijn beroep instaat voor de dagelijkse verzorging van bejaarden en hen helpt met huishoudelijk werk of assisteert bij hun activiteiten, vaak in het kader van sociale zorgverlening door thuishulp, of in een rusthuis e.d.	iemand die bejaarden verzorgt	iemand die zich voor zijn beroep bezighoudt met de verzorging van bejaarden	0.8586262464523315	0.7069089412689209	0.7754160165786743	0.6725445985794067	0.7881194353103638	0.8778806924819946
belastingplicht	substantief	1.0	15729	15730	verplichting om belasting te betalen	plicht om belasting te betalen	verplichting om belasting te betalen	1.0	1.0	1.0	0.9779184460639954	0.7891513705253601	0.9602149724960327
beleggingswinkelier	substantief	1.0	15876	15877	iemand die voor zijn beroep een beleggingswinkel uitbaat	uitbater van een beleggingswinkel	iemand die voor zijn beroep een beleggingswinkel uitbaat	0.9999998807907104	0.9999998807907104	0.9999998807907104	0.9802892804145813	0.7730119824409485	0.9701130390167236
beleidsadviserend	adjectief	1.0	308525	308531	zich bezighoudend met het geven van een beleidsadvies	zich bezighoudend met een beleidsadvies	zich bezighoudend met het geven van een beleidsadvies	1.0	1.0	1.0	0.9796498417854309	0.7356119155883789	0.9579756855964661
beleidsadvisering	substantief	1.0	15885	15886	het geven van advies door een bevoegd persoon of een bevoegde instantie over het te voeren beleid	advisering over het te voeren beleid	het adviseren over het te voeren beleid	0.8702157735824585	0.7332637906074524	0.7958912253379822	0.7870485186576843	0.7387205362319946	0.9327187538146973
beleidsdiarree	substantief	1.0	500403	500405	neiging in de politiek om te veel te snel te willen veranderen	bepaalde neiging in de politiek	bepaalde neiging in de politiek om snel en veel beleid te maken	0.8453059196472168	0.8274075984954834	0.836260974407196	0.838997483253479	0.46409887075424194	0.7875336408615112
beleidsintimiteit	substantief	1.0	217341	217342	vertrouwelijkheid van het overleg of het samenwerken tussen bewindslieden en ambtenaren aangaande beleidszaken	vertrouwelijkheid tussen bewindslieden en ambtenaren	vertrouwelijkheid tussen bewindslieden en ambtenaren bij het uitvoeren van het beleid	0.8845775723457336	0.8505240678787231	0.8672165870666504	0.8871747851371765	0.603471040725708	0.9626775979995728
beleveniscultuur	substantief	1.0	379562	379568	cultuur waarin mensen op zoek gaan naar uitdagingen en ervaringen om de dagelijkse sleur te ontvluchten	cultuur waarin de belevenis centraal staat	cultuur waarin de belevenis, het beleven van iets, centraal staat	0.7134265303611755	0.6760960221290588	0.6942598223686218	0.620649516582489	0.7669827342033386	0.7994248867034912
belevingsmarketing	substantief	1.0	211799	211800	marketing waarbij een product wordt gepresenteerd als iets wat als een belevenis wordt ervaren	belevenismarketing	vorm van marketing waarbij consumenten de mogelijkheid wordt geboden om een product of dienst op een andere dan de gebruikelijke manier te ervaren, bijvoorbeeld door het uitproberen van een product, het meemaken van een activiteit of het bezoeken van een evenement	0.6823996305465698	0.7467777729034424	0.7131386995315552	0.7194247841835022	0.8168903589248657	0.9171323776245117
belgicisme	substantief	1.0	16132	16133	woord dat of uitdrukking, zinsconstructie die eigen is aan het Frans respectievelijk het Nederlands in België, die letterlijk vertaald of gevormd naar het Nederlands respectievelijk het Frans wordt overgenomen en die beschouwd wordt als strijdig met het eigene van deze taal	onzuiver Belgisch taalelement	onzuiver Belgisch taalelement, bijvoorbeeld een uitdrukking, een woord of een zinsconstructie	0.7296262979507446	0.6430648565292358	0.6836163401603699	0.5525385141372681	0.5739253759384155	0.6614065170288086
belgicisme	substantief	2.0	16132	219191	gezindheid die een unitaire, naar eenheid strevende Belgische staatsstructuur ondersteunt	unitarisme	het streven naar een verenigd België, in tegenstelling tot het federalisme	0.6974081993103027	0.6742493510246277	0.6856332421302795	0.7191305756568909	0.6444488763809204	0.6336954236030579
Belgisch rechts	verbinding	1.0	915273	915307	opendraaiend naar rechts en dus sluitend naar links	opendraaiend naar rechts	opendraaiend naar rechts, in tegenstelling tot Belgisch links	0.8293681144714355	0.8685381412506104	0.8485013246536255	0.6519798040390015	0.494363397359848	0.7580598592758179
benoemingstermijn	substantief	1.0	439696	583874	termijn waarvoor iemand in een bepaalde functie benoemd wordt	termijn waarvoor iemand benoemd wordt	termijn waarvoor iemand voor een functie of ambt wordt benoemd	0.8443195223808289	0.8789777755737305	0.8613001108169556	0.9562079906463623	0.8149101138114929	0.9803658723831177
bentisch	adjectief	1.0	222314	222315	zich bevindend in, op of nabij de zeebodem, vaak niet al te ver verwijderd van de kust	zich nabij de zeebodem bevindend	zich op of nabij de zeebodem bevindend	0.9110268354415894	0.777527928352356	0.8390001058578491	0.7506818771362305	0.5790703892707825	0.8870821595191956
benzineaangedreven	adjectief	1.0	871782	871829	in beweging gebracht door benzine, of met een motor die daarop werkt	op benzine werkend	aangedreven door benzine	0.8214757442474365	0.7373335361480713	0.7771337032318115	0.7202816009521484	0.75846266746521	0.918099045753479
bepaald hoofdtelwoord	verbinding	1.0	929915	929917	telwoord dat een exact aantal aangeeft, zoals één , twee , drie , vier enz.	telwoord dat een exact aantal aangeeft	telwoord dat een exact aantal aangeeft, zoals één, twee, drie, vier, vijf enz.	0.9922844171524048	0.9946867227554321	0.9934841394424438	0.9372811913490295	0.6755115985870361	0.8988853693008423
bepaald lidwoord	verbinding	1.0	501935	915134	lidwoord dat aangeeft dat het direct volgende zelfstandig naamwoord bepaald is	een van de lidwoorden de of het	een van de lidwoorden de of het	0.6687288880348206	0.6527117490768433	0.6606231927871704	0.42785152792930603	0.6324412822723389	0.5292049646377563
Berberse	substantief	1.0	315603	536769	vrouw die behoort tot het Berberse volk dat oorspronkelijk Noord-Afrika bewoonde	inheemse bewoonster van Noord-Afrika	inheemse bewoonster van Noord-Afrika, met name van Marokko, Algerije en Tunesië	0.7104904651641846	0.7222799062728882	0.7163366675376892	0.7240480780601501	0.5870181918144226	0.5400803089141846
bergamotolie	substantief	1.0	195965	195967	etherische olie die wordt gewonnen uit de schil van de onrijpe bergamotvrucht	etherische olie	etherische olie die wordt gedestilleerd uit de schil van bergamotvruchten	0.9059958457946777	0.9097031950950623	0.9078457355499268	0.8989534378051758	0.7695976495742798	0.9206897616386414
berggeit	substantief	1.0	16815	16816	zoogdier met lange, rechtopstaande horens, dat sterk op een geit lijkt en dat voorkomt in bergstreken in Europa en Klein-Azië	gems	middelgrote tot grote, in de bergen levende hoefdier uit de familie van de beksprinkhanen	0.6639146208763123	0.6526055335998535	0.6582114696502686	0.5971626043319702	0.4292203485965729	0.23126448690891266
berggeit	substantief	2.0	16815	214281	iemand die als wielrenner uitstekende prestaties levert in het klimwerk	goed klimmende wielrenner	wielrenner die goed kan klimmen	0.8063619136810303	0.7159873247146606	0.7584920525550842	0.5635793805122375	0.5808883905410767	0.9097374677658081
berggeit	substantief	3.0	16815	214282	iemand die vaak in de bergen wandelt en die daarin getraind is	getraind bergwandelaar	getraind bergwandelaar die zich door zijn uithoudingsvermogen en klimvaardigheden onderscheidt van de gewone toerist	0.6372150182723999	0.689908504486084	0.6625156402587891	0.7115845084190369	0.6285763382911682	0.45447999238967896
berglemming	substantief	1.0	232359	232360	lemming die voorkomt in berggebieden van Scandinavië, met een gedrongen lichaam en een bonte vacht in een patroon van zwart, geel en bruin	lemming die leeft in berggebied	lemming die voorkomt in berggebied	0.9095646739006042	0.67064368724823	0.7720422744750977	0.41961660981178284	0.6156355738639832	0.5428625345230103
berkenpollenseizoen	substantief	1.0	205412	205414	jaarlijks terugkerende periode waarin het pollen of stuifmeel van de berk vrijkomt, waarvoor veel hooikoortspatiënten allergisch zijn	seizoen waarin het berkenpollen vrijkomt	jaarlijks terugkerende periode waarin de berkenpollen vrijkomt	0.8807711005210876	0.7460829019546509	0.8078516125679016	0.7088848352432251	0.7383067607879639	0.8683305978775024
beroepsjournalist	substantief	1.0	17105	17106	in België: journalist die minimaal twee jaar de journalistiek bedrijft als hoofdberoep in een medium van algemene berichtgeving, en die de wettelijk beschermde titel van beroepsjournalist draagt	journalist van beroep	journalist die journalistiek als beroep uitoefent	0.7600682973861694	0.6290915608406067	0.6884053349494934	0.5245881676673889	0.6990680694580078	0.6064114570617676
beroepstermijn	substantief	1.0	17194	17195	termijn waarbinnen men bezwaar moet aantekenen om een beslissing te betwisten en die na zijn verloop een beslissing definitief en onherroepelijk maakt	termijn om in beroep te gaan	termijn waarbinnen men in beroep kan gaan tegen een vonnis	0.8234398365020752	0.6862815618515015	0.7486302852630615	0.7917028069496155	0.8068992495536804	0.9084137678146362
beroepsvereniging	substantief	1.0	17204	17205	vereniging van personen die hetzelfde beroep uitoefenen en gezamenlijk opkomen voor hun belangen	belangenvereniging van mensen met hetzelfde beroep	vereniging van mensen die hetzelfde beroep uitoefenen en gezamenlijk opkomen voor hun belangen	0.9942730665206909	0.9942730665206909	0.9942730665206909	0.9661650061607361	0.8230106830596924	0.9910246133804321
beschelpen	werkwoord	1.0	597772	597773	met schelpen overdekken	met schelpen plaveien	met schelpen plaveien of bedekken	0.8064948320388794	0.8711199760437012	0.837562620639801	0.4296009838581085	0.4533998966217041	0.7345129251480103
beschermeling	substantief	1.0	17405	17406	iemand die in bescherming wordt genomen, vaak door een invloedrijk persoon of een invloedrijke organisatie	iemand die in bescherming wordt genomen	iemand die in bescherming wordt genomen door iemand anders	0.9100841283798218	0.7959560751914978	0.8492027521133423	0.7423893809318542	0.7845430970191956	0.9240484237670898
beschermengel	substantief	1.0	17409	17410	engel die waakt over het welzijn van mensen	engel die beschermt	engel die iemand of iets beschermt	0.7638440132141113	0.7261682748794556	0.7445297837257385	0.7199280858039856	0.7399966716766357	0.9458804130554199
beschermengel	substantief	2.0	17409	557862	beschermer iemand die voor zijn beroep anderen beschermt	persoon die beschermt bodyguard	persoon die iemand of iets beschermt iemand die voor zijn beroep iemand of iets beschermt	0.7789202928543091	0.8191157579421997	0.7985125184059143	0.7885013818740845	0.5430691242218018	0.8753625154495239
beschermengel	substantief	3.0	17409	557863	bescherming systeem voor het lokaliseren van mobiele telefoons dat ingezet kan worden bij vermissingen	iets wat beschermt systeem dat beschermt	iets wat iemand of iets wat een groep van personen of een zaak beschermt	0.646476149559021	0.6366884112358093	0.6415449976921082	0.4039945900440216	0.4048998951911926	0.3709982633590698
beschermengel	substantief	2.1	17409	557881	iemand die voor zijn beroep anderen beschermt	bodyguard	iemand die voor zijn beroep of uit liefhebberij een persoon of groep personen bewaakt en beschermt	0.7570798397064209	0.8919813632965088	0.8190128207206726	0.8236725926399231	0.7956933379173279	0.918824315071106
beschermengel	substantief	3.1	17409	557899	systeem voor het lokaliseren van mobiele telefoons dat ingezet kan worden bij vermissingen	systeem dat beschermt	systeem dat of apparaat dat dient om iets of iemand te beschermen	0.6658854484558105	0.6736916303634644	0.6697657704353333	0.4236883819103241	0.5829973816871643	0.4450014531612396
beslismoment	substantief	1.0	17615	17616	tijdstip dat men in een planning voorziet om een beslissing te nemen	tijdstip voor een beslissing	tijdstip waarop een beslissing genomen moet worden	0.8659924864768982	0.7976374626159668	0.8304106593132019	0.7532581090927124	0.8074731826782227	0.9327709674835205
besprokene	substantief	1.0	405054	883165	besproken onderwerp of geheel van onderwerpen	dat wat besproken is	onderwerp van de bespreking	0.7042965888977051	0.7007087469100952	0.7024980783462524	0.723390519618988	0.6461684107780457	0.8365049362182617
besprokene	substantief	2.0	405054	883179	auteur van wie een werk of musicus van wie een uitvoering in een recensie, veelal in een krant of tijdschrift, besproken is	iemand die besproken is iemand wiens werk besproken is (grammatica) derde persoon	iemand die besproken is iemand wiens werk besproken is (grammatica) derde persoon	0.7123059034347534	0.6433728933334351	0.6760868430137634	0.40787801146507263	0.49542248249053955	0.42657271027565
besprokene	substantief	2.1	405054	883220	auteur van wie een werk of musicus van wie een uitvoering in een recensie, veelal in een krant of tijdschrift, besproken is	iemand wiens werk besproken is	iemand wiens werk of prestaties besproken zijn	0.7768990993499756	0.6901511549949646	0.7309603691101074	0.5580815672874451	0.6980997920036316	0.8579909801483154
bestraten	werkwoord	1.0	17917	17918	bedekken met iets wat als straat of bestrating dient, zoals basaltblokken, keien, kinderhoofdjes, klinkers e.d.	van een straat of bestrating voorzien	voorzien van een straat of bestrating	0.8045488595962524	0.6592484712600708	0.7246872186660767	0.5317047834396362	0.5723216533660889	0.5160032510757446
bestuurskundedocent	substantief	1.0	18024	18025	docent die het vak bestuurskunde doceert	docent bestuurskunde	docent die lesgeeft in bestuurskunde	0.7685983777046204	0.7750232815742493	0.7717974185943604	0.8105340600013733	0.7657710313796997	0.9464815855026245
betaaldvoetbalvereniging	substantief	1.0	215760	215761	voetbalvereniging met professionele spelers die betaald worden	voetbalvereniging voor profvoetballers	voetbalvereniging die profvoetballers uitbetaalt	0.7499229311943054	0.7858279943466187	0.7674557566642761	0.6048073768615723	0.5388175845146179	0.9045048952102661
betrokkene	substantief	1.0	18308	18309	iemand die ergens in of ergens bij betrokken is	iemand die ergens bij betrokken is	iemand die ergens bij betrokken is	0.9480633735656738	0.8846110105514526	0.9152387380599976	0.933190107345581	0.7702401280403137	0.9483784437179565
beursstudent	substantief	1.0	18503	18504	student die een beurs ontvangt om te kunnen studeren	bursaal	student die een beurs ontvangt	0.9337225556373596	0.8321640491485596	0.8800229430198669	0.6769571304321289	0.5987827181816101	0.900092601776123
bewaarschool	substantief	1.0	18879	18880	school voor heel jonge kinderen, in Nederland van vier tot zes jaar, in Vlaanderen van twee jaar en zes maanden of drie jaar tot zes jaar	kleuterschool	school voor drie- en vierjarigen die voorbereidt op de basisschool	0.7062738537788391	0.7019334435462952	0.7040969729423523	0.5709617137908936	0.44368478655815125	0.5594317317008972
bewegingsdocent	substantief	1.0	18971	18972	docent die les in beweging geeft	docent beweging	docent die lesgeeft in bewegingsonderwijs	0.7352176904678345	0.8207466006278992	0.7756314873695374	0.796502411365509	0.6793059706687927	0.8882386684417725
bezieler	substantief	1.0	19196	19197	iemand die de drijvende kracht vormt achter een onderneming of activiteit door toewijding, inzet en ideeën instelling of instantie waarvan een bezielende werking uitgaat	drijvende kracht instantie e.d. die bezielt	drijvende kracht instantie e.d. die iets tot stand brengt of tot bloei brengt	0.6563271284103394	0.642535388469696	0.6493580937385559	0.5029141902923584	0.4515368342399597	0.5901533365249634
bezieler	substantief	2.0	19196	19198	iemand die iets een 'ziel' geeft	iemand die iets tot leven wekt	iemand die iets tot leven wekt of tot stand brengt	0.7537168264389038	0.7682418823242188	0.7609100341796875	0.6101468801498413	0.633664608001709	0.8530218005180359
bezieler	substantief	1.1	19196	19199	instelling of instantie waarvan een bezielende werking uitgaat	instantie e.d. die bezielt	instantie e.d. die iets tot stand brengt of tot bloei brengt	0.6390637755393982	0.6701163053512573	0.6542218327522278	0.6078147888183594	0.43823736906051636	0.572205126285553
bezinningsperiode	substantief	1.0	19243	19244	periode waarin men de tijd neemt om door rustige overweging tot inzicht te komen in enige bestaande toestand of toekomstige ontwikkeling	periode waarin men zich bezint	periode waarin men zich bezint op wat men gedaan heeft en op wat men in de toekomst gaat doen	0.7404468059539795	0.7082432508468628	0.7239871025085449	0.6983051300048828	0.8117031455039978	0.8562439680099487
bezoeker	substantief	2.0	19271	589183	iemand die voor zijn plezier iets bezoekt, zoals een pretpark, dierentuin, bioscoop, tentoonstelling, e.d.	iemand die iets bezoekt	iemand die een bepaalde plaats bezoekt	0.8138663172721863	0.6494985222816467	0.722451388835907	0.5285244584083557	0.8042716979980469	0.7901785373687744
bezoeker	substantief	3.0	19271	589316	iemand die voor zijn beroep ergens op bezoek gaat	iemand die bezoeken aflegt	iemand die op bezoek gaat bij iemand of iets	0.8164190053939819	0.8206270337104797	0.8185176253318787	0.7568173408508301	0.749848484992981	0.9161243438720703
bezoeker	substantief	4.0	19271	589189	iemand die een website raadpleegt	iemand die een website bezoekt	iemand die een website bezoekt, meestal via internet	0.8114005923271179	0.8369280695915222	0.8239666819572449	0.7921558022499084	0.7643788456916809	0.885644793510437
bezoeker	substantief	5.0	19271	589192	sporter of sportploeg die voor het spelen van een wedstrijd op bezoek komt	sporter die uit speelt	iemand die deelneemt aan een sportwedstrijd als speler of speelster	0.7579193115234375	0.733980655670166	0.7457579374313354	0.7236889600753784	0.5018419027328491	0.8402957916259766
bias	substantief	1.0	19401	19402	vertekening in het resultaat van een steekproef	vertekening in een steekproef	vertekening in een steekproef, bijvoorbeeld in een opiniepeilingsresultaat, doordat de steekproef niet representatief is voor de gehele doelgroep	0.7507314682006836	0.8598616123199463	0.8015993237495422	0.687599778175354	0.5054312944412231	0.8629560470581055
bias	substantief	2.0	19401	19403	geneigdheid, ingenomenheid voor of tegen iets of iemand	vooringenomenheid	vooringenomenheid, vooroordeel	0.743669867515564	0.7145369052886963	0.7288123965263367	0.5434499979019165	0.7402730584144592	0.8924267292022705
bibliomanie	substantief	1.0	213709	213710	overdreven zucht, neiging om boeken te verzamelen, voornamelijk om deze als bijzonderheden of zeldzaamheden te bezitten	boekengekte	verschijnsel dat er een grote belangstelling is voor boeken en alles wat met boeken te maken heeft	0.6768673658370972	0.6600216627120972	0.6683383584022522	0.5619264245033264	0.6326196193695068	0.5680369138717651
bibliotheekbezoek	substantief	1.0	19451	211958	het bezoeken van een of meer bibliotheken	bezoek aan een bibliotheek	het bezoeken van een bibliotheek	0.9172964096069336	0.8254994750022888	0.868980348110199	0.8533288836479187	0.7683639526367188	0.9494413137435913
bibliotheekschool	substantief	1.0	19468	19469	school waar een bibliotheekopleiding wordt gegeven	school voor bibliotheekopleiding	school waar men een opleiding tot bibliothecaris kan volgen	0.8058327436447144	0.846860408782959	0.8258373141288757	0.903717041015625	0.7495979070663452	0.9554941654205322
bierkaai	substantief	1.0	19710	19711	abstracte of concrete tegenstander waarvan of van wie men bij voorbaat al weet dat men ervan verliest	onoverwinlijke tegenstander	iemand die of iets wat onoverwinnelijk is	0.7144910097122192	0.696984052658081	0.7056289911270142	0.42028090357780457	0.44583457708358765	0.8122309446334839
bietsen	werkwoord	1.0	19767	19768	schooien krijgen door er rechtstreeks om te vragen	vragen aftroggelen	zich door vragen aftroggelen	0.7321063280105591	0.7183566093444824	0.7251663208007812	0.4205736219882965	0.38859108090400696	0.4357038736343384
bietsen	werkwoord	2.0	19767	19769	zonder te vragen meenemen	zonder te vragen nemen	iets zonder toestemming of zonder te vragen meenemen	0.8497954607009888	0.9143549203872681	0.8808939456939697	0.8673297762870789	0.6713076829910278	0.884689450263977
bietsen	werkwoord	1.1	19767	19770	krijgen door er rechtstreeks om te vragen	aftroggelen	zichzelf of iemand anders met de hand of met een hulpmiddel, bv. een biets, voorzichtig losmaken	0.6119393110275269	0.6789771318435669	0.6437175869941711	0.3521788716316223	0.3886275291442871	0.2801644206047058
big brother	substantief	1.0	209116	209150	mythische onzichtbare en alziende persoon die symbool staan voor een machtige instantie die in staat is om ongemerkt al ons doen en laten te controleren	mythische alziende persoon	mythische, alziende persoon die alles ziet en hoort wat er zich in de wereld afspeelt	0.766997218132019	0.7359201312065125	0.7511374354362488	0.6469007730484009	0.7225803732872009	0.7034980058670044
big brother	substantief	2.0	209116	209151	iemand die achter de schermen een criminele organisatie leidt	onzichtbare topcrimineel	onzichtbare, machtige topcrimineel die de criminele wereld vanuit de schaduw regeert	0.7136449813842773	0.7862289547920227	0.7481806874275208	0.7209219336509705	0.747241735458374	0.9320958852767944
big brother	substantief	3.0	209116	209152	organisatie die in een bepaalde sector zo overheersend is, dat zij aan de anderen de wet kan stellen	dominante organisatie	dominante organisatie die alles in de gaten houdt en controleert	0.7138351202011108	0.6776853799819946	0.6952906847000122	0.6938157677650452	0.7725178599357605	0.7366511821746826
bigbrothermaatschappij	substantief	1.0	637610	637633	maatschappij waarin de overheid voortdurend het gedrag van burgers controleert of in de gaten houdt	maatschappij die burgers controleert	samenleving waarin de overheid of andere instanties de burgers voortdurend in de gaten houden, bijvoorbeeld door middel van videocamera's en microfoons, en waarin de privacy van de burgers steeds meer in het gedrang komt	0.7424182891845703	0.8269408345222473	0.7824034690856934	0.8150994181632996	0.6139113306999207	0.8946486711502075
bijenkorf	substantief	1.0	19948	19949	behuizing voor bijen, oorspronkelijk een uit stro of twijgen gevlochten constructie in stolpvorm, tegenwoordig vaker een soort houten kist, die door bijentelers gebruikt wordt om een bijenvolk onder de leiding van een koningin zijn honingraten te laten bouwen plaats waar een gonzende activiteit heerst en waar er een druk komen en gaan heerst	behuizing van een bijenvolk drukke plaats	behuizing van een bijenvolk drukke plaats	0.7809689044952393	0.6345630288124084	0.700194776058197	0.35301053524017334	0.4583973288536072	0.3811102509498596
bijenkorf	substantief	1.1	19948	526006	plaats waar een gonzende activiteit heerst en waar er een druk komen en gaan heerst	drukke plaats	plaats die of situatie die zeer druk en onoverzichtelijk is	0.6776224374771118	0.6731230616569519	0.6753652691841125	0.44806790351867676	0.3786916434764862	0.6513656377792358
bijenmakelaar	substantief	1.0	534792	534793	iemand die zich voor zijn beroep bezighoudt met het verspreiden van kennis over bijen, bijengezondheid en bijenhouden en die bijvoorbeeld imkers begeleidt	iemand die kennis over bijen verspreidt	iemand die zich voor zijn beroep of uit liefhebberij bezighoudt met het verspreiden van kennis over bijen	0.8656579256057739	0.8138895034790039	0.8389759063720703	0.8424615859985352	0.8051067590713501	0.9230555295944214
bijstandsmoeder	substantief	1.0	20160	20161	alleenstaande moeder die een uitkering krijgt op basis van de Wet werk en bijstand	alleenstaande moeder met bijstandsuitkering	alleenstaande moeder die een bijstandsuitkering ontvangt	0.8549808263778687	0.816603422164917	0.8353515863418579	0.8997642397880554	0.7991334199905396	0.9503551721572876
bijstandstoerisme	substantief	1.0	576435	576438	het reizen naar een andere plaats of een ander land omdat je daar gemakkelijk een bijstandsuitkering kunt krijgen	toerisme om bijstand te verkrijgen	het reizen naar een andere plaats of een ander land om daar bijstand te verkrijgen	0.9005666375160217	0.8276661038398743	0.862578809261322	0.815338671207428	0.6580161452293396	0.9403187036514282
bijstandstrekker	substantief	1.0	20214	20215	iemand die krachtens een wet recht heeft op bijstand	iemand die een bijstandsuitkering ontvangt	iemand die een bijstandsuitkering ontvangt	0.753926157951355	0.7846550941467285	0.7689837217330933	0.8086201548576355	0.8093998432159424	0.9786581993103027
bijziendheid	substantief	1.0	20440	20441	verschijnsel dat iemand alleen van dichtbij scherp kan zien, bijziend is	het bijziend-zijn	het niet goed kunnen zien van dichtbij	0.7521971464157104	0.6759109497070312	0.7120165228843689	0.5547465085983276	0.4393158555030823	0.7353824377059937
bijzonderebijstandsverlening	substantief	1.0	20457	20458	het volgens een bijstandsregeling verlenen van een (aanvullende) uitkering voor bijzondere uitgaven	het verlenen van bijzondere bijstand	het verlenen van bijzondere bijstand	0.8566635251045227	0.7266981601715088	0.786346971988678	0.7658277750015259	0.6678252220153809	0.8613243103027344
bikepacking	substantief	1.0	952709	952710	avontuurlijke vorm van recreatief fietsen met weinig bepakking, op een lichtgewicht fiets die geschikt is voor onverhard terrein	avontuurlijke vorm van recreatief fietsen	avontuurlijke vorm van recreatief fietsen waarbij de fietser zijn of haar bagage in een speciaal daarvoor bestemd fietstassenpakket vervoert	0.750556468963623	0.7856491208076477	0.767702043056488	0.7857429385185242	0.7664204239845276	0.5302287340164185
bikinibabe	substantief	1.0	192538	192539	aantrekkelijke, sexy vrouw, babe, die een bikini draagt	sexy vrouw met bikini	sexy vrouw die een bikini draagt	0.9286367297172546	0.7974957227706909	0.8580846190452576	0.8770402669906616	0.7454090118408203	0.8981742858886719
biljoen	substantief	1.0	20564	20565	waarvan de rekenkundige waarde wordt uitgedrukt door het cijfer 1 gevolgd door twaalf nullen	duizend keer een miljard	getal of bedrag dat duizend keer een miljard bedraagt	0.64839768409729	0.6227395534515381	0.635309636592865	0.4704259932041168	0.6389417052268982	0.47973984479904175
biljoen	substantief	2.0	20564	216060	getal uitgedrukt door het cijfer 1 gevolgd door twaalf nullen	getal met twaalf nullen	getal dat bestaat uit een 1 gevolgd door twaalf nullen	0.8855228424072266	0.8086851835250854	0.845361590385437	0.8479995727539062	0.7259700298309326	0.9063756465911865
biljoen	substantief	3.0	20564	216066	hoeveelheid of aantal van één biljoen zaken of eenheden van iets	hoeveelheid van één biljoen	hoeveelheid van één biljoen (1.000.000.000.000)	0.6969838738441467	0.742190957069397	0.718877375125885	0.5164466500282288	0.7159827947616577	0.672145426273346
biljoen	substantief	4.0	20564	216082	bedrag ter grootte van 1 biljoen geldeenheden van een bepaalde muntsoort	geldbedrag van één biljoen	geldbedrag of geldeenheid ter waarde van één biljoen	0.8360766172409058	0.7913972735404968	0.8131237030029297	0.8263587951660156	0.6417223215103149	0.8940553665161133
binnenhuisarchitect	substantief	1.0	20686	20687	iemand die zich voor zijn beroep of uit liefhebberij bezighoudt met het interieur van gebouwen, vooral woonhuizen, speciaal met het oog op de inrichting, lichtval en kleur	interieurarchitect beroep van binnenhuisarchitect	iemand die zich voor zijn beroep bezighoudt met het inrichten van woonruimtes en werkruimtes, zoals woonhuizen, kantoren, winkels e.d. beroep van binnenhuisarchitect	0.7715439796447754	0.7698527574539185	0.7706974148750305	0.8039399981498718	0.6479154825210571	0.8243606090545654
binnenpad	substantief	1.0	20757	20758	pad dat binnendoor gaat, in tegenstelling tot de gewone of ook grotere weg of het hoofdpad waarvan de route vaak rond gebouwen of stukken land heen leidt	een pad binnendoor	pad dat naar binnen leidt	0.8205870389938354	0.6572577953338623	0.7298969626426697	0.44046154618263245	0.7147822380065918	0.5709599256515503
binnenseizoen	substantief	1.0	511448	511449	jaarlijks terugkerende periode met minder gunstige weersomstandigheden waarin een sport binnen in hallen en zalen wordt beoefend	seizoen voor binnenwedstrijden e.d.	jaarlijks terugkerende periode met gunstiger weersomstandigheden voor binnenactiviteiten dan in het buitenseizoen	0.7844100594520569	0.7892547249794006	0.7868248820304871	0.8101119995117188	0.7069544196128845	0.9036127328872681
binnenzee	substantief	1.0	20878	20879	zee die geheel door land is afgesloten van andere zeeën en oceanen of daarmee slechts in verbinding staat door een zee-engte	geheel of grotendeels omsloten zee	zee die geheel of grotendeels wordt omsloten door land	0.8191590309143066	0.7452356815338135	0.7804507613182068	0.5722491145133972	0.6851022243499756	0.907246470451355
biolandbouw	substantief	1.0	238384	238387	landbouw waarbij slechts natuurlijke grondstoffen gebruikt worden en geen chemische bestrijdingsmiddelen	landbouw met natuurlijke grondstoffen	vorm van landbouw die gebruikmaakt van natuurlijke grondstoffen	0.8134505748748779	0.7836781740188599	0.7982869148254395	0.7768645882606506	0.8138957023620605	0.953587532043457
biologisch paspoort	substantief	1.0	253872	253873	digitaal document met medische gegevens van professionele sporters, bedoeld om eventueel dopinggebruik op te sporen	medisch paspoort voor sporters	medisch paspoort voor sporters dat aangeeft of zij aan bepaalde dopingcontroles hebben voldaan	0.7527265548706055	0.7626088857650757	0.7576354742050171	0.7930949926376343	0.6569706201553345	0.657880425453186
