Lemma	POS	MeaningNumber	LemmaID	MeaningID	DefinitionFull	DefinitionShort
handbezem	substantief	1.0	380624	380630	bezem die met de hand bediend kan worden, vooral in tegenstelling tot een bezem die ingebouwd is in een veeginstallatie e.d.;  in het bijzonder ook: bezem die gebruikt wordt om de lijnen van een tennisveld te ontdoen van gravel of om kunstgras te ontdoen van bladeren e.d.	bezem
hoger beroepsonderwijs	substantief	1.0	939285	939286	het gestructureerd aanleren van kennis, vaardigheden en attitudes aan studenten binnen het kader van hogeschoolopleidingen;  hogeschoolonderricht;  concreet ook: geheel van lessen en praktijkopdrachten waardoor hogeschoolstudenten hun kennis, vaardigheden en attitudes ontwikkelen	onderricht gegeven aan een hogeschool
hoger onderwijs	verbinding	1.0	937209	937213	het gestructureerd aanleren van kennis, vaardigheden en attitudes aan studenten van hogeronderwijsinstellingen zoals universiteiten en hogescholen;  concreet ook: geheel van colleges, werkcolleges, practica e.d. waardoor studenten aan hogeronderwijsinstellingen hun kennis, vaardigheden en attitudes ontwikkelen	onderricht aan hogeronderwijsinstellingen
hondsberoerd	adjectief	1.0	386525	952901	in lichamelijk opzicht in een belabberde, zeer slechte toestand verkerend;  doodziek;  in het bijzonder ook: zeer misselijk;  kotsmisselijk	lichamelijk zeer slecht
hoogleraar	substantief	1.0	68430	68431	iemand die voor zijn beroep aan een universiteit of hogeschool in de hoogste wetenschappelijke rang doceert en onderzoek verricht en leidt;  in Vlaanderen ook specifieker: iemand die is benoemd in de op een na hoogste rang van het zelfstandig, academisch personeel, volgens de indeling in docenten, hoofddocenten, hoogleraren en gewoon hoogleraren; de functie of graad van hoogleraar hoogleraar aan een universiteit van wie de leerstoel wordt gefinancierd door een externe stichting, instelling of bedrijf; de functie of graad van bijzonder hoogleraar iemand die het hoogleraarschap als een nevenfunctie in deeltijd vervult en buiten de vaste, reguliere aanstellingsplaatsen door de universiteit vaak tijdelijk wordt aangesteld om de waarde die men hecht aan academisch onderwijs en onderzoek binnen een bepaald vak; de functie of graad van buitengewoon hoogleraar hoogleraar die zijn ambt wegens het bereiken van de pensioengerechtigde leeftijd heeft neergelegd hoogleraar die het hoogleraarschap als hoofdfunctie vervult in een voltijdse of een grotere deeltijdse aanstelling;  in Vlaanderen ook: hoogleraar die is benoemd in de hoogste rang van het zelfstandig, academisch personeel, volgend op de rangen van docent, hoofddocent en hoogleraar; de functie of graad van gewoon hoogleraar	professor
horecasector	substantief	1.0	68725	68726	deel van de economische bedrijvigheid dat bestaat uit dienstverlening door horecabedrijven;  meton. ook: het geheel van bedrijven werkzaam in deze sector	horecabranche
hosselaar	substantief	1.0	400805	600634	iemand die van alles doet om rond te komen;  in negatieve zin ook: iemand die kleine misdaden pleegt om aan geld te komen	scharrelaar
hoteldebotel	adjectief	1.0	68904	68905	geheel buiten zichzelf, uitzinnig, zowel als gevolg van een positieve als van een negatieve gemoedstoestand;  naargelang van het verband ook: volslagen gek;  stapelgek	uitzinnig
huis	substantief	2.0	69411	532809	woongelegenheid gezien als de plaats waar iemand, een gezin of een familie pleegt te verblijven;  woonruimte van iemand tot aan of voor de deur van iemands woning bij iemand thuis bij iemand thuis op bezoek of op visite komen bij een gezin of familie vaak ontvangen worden en er in de huiselijke kring verkeren in, langs, naar, rond, uit de eigen woonruimte;  in, langs, naar, rond, uit de woning waar men pleegt te verblijven het lukt geenszins om dat te realiseren;  daar komt niets van terecht dat mag in geen geval;  dat kan onder geen beding dan laait de ruzie fel op;  dan gaat men uit onvrede enorm tekeer de dochter, vrouw of zoon van de familie de vader van de familie;  de echtgenoot van het gezin nog meer problemen hebben dan voorheen al het geval was;  in nog grotere narigheid terechtkomen in de eigen plaats van herkomst;  in het eigen gebied een geheel waarbinnen men veel soorten, geledingen of afdelingen kan onderscheiden op zoek zijn naar een woning woning waarvan de bewoners niet thuis of niet aanwezig zijn woning die niet wordt bewoond een tweede woning waarover iemand beschikt, vaak als bijkomende woongelegenheid of vakantieverblijf naast de eigenlijke hoofdwoning met iemand niets kunnen aanvangen doordat hij zich in de dagelijkse omgang onmogelijk gedraagt;  met iemand door diens gedrag geen vrede kunnen bewaren ergens invloed hebben of macht kunnen uitoefenen door zijn optreden of werking ergens veel schade veroorzaken door de afwezigheid van de andere bewoners alleen over de woning kunnen beschikken alles of allen in een woning in rep en roer brengen woning waar iemands ouders wonen of gewoond hebben;  woning waarin men bij de ouders is opgegroeid woning en haardvuur, als beeld voor iemands gehele onderkomen en bezit iemands dienstverband tijdelijk onderbreken dan wel definitief opzeggen;  iemands taken of bevoegdheden tijdelijk of definitief ontnemen;  iemand niet langer in dienst houden;  iemand ontslaan iemand op straat zetten;  hem zijn woning ontnemen iets in zijn woning binnenbrengen;  zorgen dat men iets in zijn woning ter beschikking krijgt zorgen dat men iets ter beschikking krijgt iets voorhanden of in voorraad hebben ergens over kunnen beschikken iemand als huisgenoot of een dier als gezelschap in zijn woning hebben of brengen;  onder zijn dak nemen iemand binnen zijn organisatie hebben, daaraan toevoegen of erbij betrekken omwille van diens kennis, vaardigheden of mogelijkheden zo vaak bij iemand verkeren als was men een lid van dat gezin of die familie;  vervolgens ook ruimer: ergens geheel thuis zijn;  ergens zo vaak komen dat men er geheel vertrouwd is van de ene woning naar de volgende;  in algemenere zin ook: aan of in alle woningen;  bij iedereen onmiddellijk, zonder inleiding of voorbereiding, zeggen wat men te zeggen heeft niet van zijn woongelegenheid weg kunnen, bijvoorbeeld door zorg om het huisgezin, fysieke omstandigheden, arbeidsomstandigheden enz.;  aan huis gebonden zijn niet veel bijzonders zijn;  weinig voorstellen toezicht houden op het huis gedurende de afwezigheid van de bewoners naar zijn woning;  naar huis gelegenheid waarbij men zijn woning die men te koop aanbiedt dan wel net heeft betrokken of verbouwd, openstelt om deze te laten bezichtigen, bijvoorbeeld door kopers, door belangstellende buren, familie, kennissen e.d.;  vervolgens ook: gelegenheid waarbij een instelling of bedrijf de deuren openstelt voor belangstellenden om haar gebouwen te tonen en te informeren over haar werkzaamheden in de woning van de genoemde;  bij hem aan of in huis het ouderlijke huis verlaten, respectievelijk verlaten hebben van overheidswege iemand uit zijn woning verwijderen en elders onderbrengen, vaak om de betreffende dan wel de huisgenoten te beschermen in sociaal of psychisch opzicht niet in huis;  met de klemtoon op het aspect verwijdering: de deur uit;  het pad op;  op weg van de ene woning naar de volgende;  in algemenere zin ook: aan of in alle woningen;  bij iedereen iemand die goed en doorgaans al langdurig bevriend is met een gezin of familie ver weg zijn;  in den vreemde zijn gebouw dat bestemd is voor de christelijke godsverering en als Gods woning wordt beschouwd kerkgebouw;  tempel	woonruimte van iemand gebouw voor godsverering
huisartsenpost	substantief	1.0	69459	69460	medisch centrum vanwaaruit de dienstdoende huisartsen uit de regio buiten de normale praktijktijden dringende zorg verlenen;  concreet ook: ruimte, gebouw waarin een dergelijk centrum gevestigd is	medisch centrum
hut	substantief	2.0	70265	70267	apart, klein vertrek aan boord van een schip;  specifieker ook: kleine, persoonlijke verblijfplaats voor hogere bemanningsleden en passagiers op een schip	vertrek op een schip
iemands pad kruisen	verbinding	1.0	897464	897465	iemands route doorsnijden met de eigen bewegingsrichting, zodat men elkaar tegenkomt op zeker punt;  iemand tegenkomen terwijl hij ergens heen gaat;  in toepassingen waarin geen sprake is van een fysieke verplaatsing vervolgens ook: iemand naar aanleiding van iets of bij zekere gelegenheid ontmoeten	iemand onderweg treffen
ijskeurmeester	substantief	2.0	225360	225490	"iemand die voor zijn beroep consumptieijs keurt;  keurmeester van consumptieijs: ook: iemand die een liefhebber is en veel verstand heeft van consumptieijs en dus in staat is de kwaliteit daarvan ""als een keurmeester"" te beoordelen"	keurmeester van consumptieijs
ijsmeester	substantief	1.0	71131	71132	iemand die bevoegd is om namens de schaatsbond of een schaatsvereniging te bepalen of het natuurijs dik genoeg is en voldoende kwaliteit heeft om er een schaatswedstrijd op te houden;  ijskeurmeester;  in een overdekte schaatshal ook: iemand die het ijs prepareert en verantwoordelijk is voor de kwaliteit van de ijsvloer	kwaliteitsbewaker van schaatsijs
immunologie	substantief	1.0	71394	71395	wetenschap die zich bezighoudt met het biologisch onderzoek naar afweersystemen van organismen tegen binnendringende cellen, organismen of stoffen;  specifieker als discipline in de geneeskunde ook: medisch specialisme dat zich bezighoudt met de diagnose, behandeling en het onderzoek van ziekten en afwijkingen van het menselijke immuunsysteem	wetenschap van het immuunsysteem
immunoloog	substantief	1.0	71412	71413	wetenschapper die zich heeft gespecialiseerd in biologisch onderzoek naar afweersystemen van organismen tegen binnendringende cellen, organismen of stoffen;  specifieker binnen de geneeskunde ook: arts die is gespecialiseerd in de diagnose, behandeling en het onderzoek van ziekten en afwijkingen van het menselijke immuunsysteem	specialist in de immunologie
in ademnood komen	verbinding	2.0	904539	904540	in moeilijke omstandigheden komen;  in zwaar weer verkeren;  specifiek ook: gebrek aan financiële middelen hebben;  geldgebrek hebben	in moeilijke omstandigheden verkeren
in ademnood verkeren	verbinding	2.0	904550	904552	het zwaar hebben;  specifiek ook: gebrek aan financiële middelen hebben;  geldgebrek hebben	in moeilijke omstandigheden verkeren
in se	bijwoord	1.0	328105	328114	(Latijn, letterlijk 'in zich') op zichzelf genomen;  an sich;  in wezen;  in zichzelf;  in principe;  in beginsel;  goedbeschouwd;  welbeschouwd;  van personen ook: van nature	op zichzelf beschouwd
industriefonds	substantief	1.0	72159	72160	kapitaal of vermogen dat overheid en instanties hebben samengebracht om industriële activiteiten te ondersteunen of te stimuleren;  metonymisch ook: de instelling, organisatie die dit geld beheert	fonds voor de industrie
invalkracht	substantief	1.0	74330	74331	iemand die tijdelijk het werk of de functie van een ander overneemt;   tijdelijke arbeidskracht;   in de sport ook: speler die normaal niet in de basisopstelling staat, maar de plaats inneemt van een basisspeler	invaller; waarnemer
invloedsfactor	substantief	1.0	74450	875881	factor die van invloed is op het resultaat, de uitkomst, de totstandkoming, de toestand van iets;  omstandigheid die medebepalend is voor iets, die effect heeft op iets;  in het bijzonder ook: factor die medepalend is voor het gedrag van personen	factor die van invloed is
jaar	substantief	4.0	74913	74915	periode van twaalf maanden, gerekend vanaf een willekeurig tijdstip tot dezelfde dag in het volgende kalenderjaar;  ruimer ook: periode van ongeveer twaalf maanden de eerstvolgende jaren de meest recente jaren;  de laatste jaren;  de afgelopen jaren terwijl het jaar verstrijkt, respectievelijk, terwijl de jaren verstrijken;  in de loop van het jaar of van de jaren;  door de tijd ruim een jaar;  iets meer dan een jaar ruim een jaar;  iets meer dan een jaar ongeveer zoveel jaar als genoemd bijna een jaar;  iets minder dan een jaar een jaar dat lang duurt voor het gevoel een volledig jaar een jaar daarvoor;  in, tijdens het jaar daarvoor een jaar waarin plaatsvindt of zich voordoet wat in de  van -bepaling wordt genoemd gedurende een heel lange tijd;  zeer lang volstrekt niet binnen het tijdsbestek van talloze jaren;  in al die tijd niet jaar uit de twaalfjaarlijkse cyclus van de Chinese dierenriem volgens de Chinese kalender, dat in het teken staat van het genoemde dier en geacht wordt onder meer het karakter te bepalen van personen die dan worden geboren slechts een klein aantal jaren;  weinig jaren telkens weer opnieuw gedurende een heel jaar;  jaren na elkaar zonder onderbreking;  onafgebroken een groot aantal jaren;  talloze jaren binnen het tijdsbestek van een jaar sinds ongeveer een jaar sinds heel lange tijd periode met jaren van tegenspoed of economische neergang periode met jaren van voorspoed of economische bloei	periode van (ongeveer) 12 maanden
jaargetijde	substantief	1.0	74949	512055	elk van de jaarlijks terugkerende, langere of kortere periodes die samenhangen met de onderlinge stand van zon en aarde en die kenmerkende eigenschappen vertonen met betrekking tot de lengte van dag en nacht, het weertype en de staat van vegetatie en gewassen de jaarlijkse periode waarin weinig of geen neerslag valt de jaarlijkse periode waarin de temperaturen hoog zijn de jaarlijkse periode waarin de temperaturen laag zijn de jaarlijkse periode met gunstige weersomstandigheden, doorgaans vanaf de lente tot en met de nazomer de jaarlijkse periode waarin veel neerslag valt;  afhankelijk van de regio ook: de moessontijd	jaarlijkse periode met zeker weertype
jachtseizoen	substantief	1.0	75053	75054	jaarlijkse periode waarin wordt gejaagd;  specifieker ook: jaarlijkse periode met een strikte termijn waarbinnen mag worden gejaagd onder vergunningsvoorwaarden opgelegd door de overheid;  seizoen om te jagen periode waarin men doelbewust en met volharding met iemand zoekt af te rekenen	seizoen om te jagen periode waarin men met iemand zoekt af te rekenen
jachttijd	substantief	1.0	394075	598767	jaarlijkse periode waarin wordt gejaagd;  specifieker ook: jaarlijkse periode met een strikte termijn waarbinnen mag worden gejaagd onder vergunningsvoorwaarden opgelegd door de overheid	seizoen om te jagen
jager	substantief	3.0	75108	75111	infanteriesoldaat die behoort tot een jagerbataljon;  in het meervoud ook: licht bewapende, snelle infanterie-eenheid die vooral voor verkenning, beveiliging en aanvallen wordt ingezet	infanteriesoldaat van jagerbataljon
Jan, Piet en Klaas	voornaamwoord	1.0	589598	589602	jan en alleman;  de gewone man;  de gemiddelde persoon;  de gemiddelde Nederlander;  het gewone volk;  met negatieve connotatie ook: het gewone volk, met weinig smaak of kritische zin	iedereen
Jan de arbeider	substantief	1.0	590568	590578	de gemiddelde arbeider;  de kleine man;  iemand van het gewone volk;  negatiever, met minachting ook: arbeider zoals die zich kenmerkt door een laag ontwikkelingsniveau of een gebrek aan beschaving;  Jan met de pet	prototype van de arbeider
Jan met de pet	substantief	1.0	590570	590635	de gemiddelde arbeider;  de kleine man;  iemand van het gewone volk;  negatiever, met minachting ook: arbeider, zoals die zich kenmerkt door een laag ontwikkelingsniveau of een gebrek beschaving;  Jan de arbeider	prototype van de arbeider
Jan Publiek	substantief	1.0	589574	589575	met een negatieve connotatie ook: het grote publiek, dat weinig smaak heeft en niet tot oordelen bevoegd is	het grote publiek
jarige job	substantief	1.0	403942	586816	persoon, met name een man of jongen, die jarig is;  jarige;  bij uitbreiding ook: club, vereniging, instelling e.d. die verjaart	persoon die jarig is
jeuken naar iets	verbinding	1.0	950116	950118	een haast onbedwingbaar verlangen, een heftige begeerte hebben naar iets;  zwakker ook: het verlangen, de behoefte hebben of krijgen aan iets;  een innerlijke drang voelen om iets te doen;  heel veel zin hebben om ergens aan te beginnen	hunkeren naar iets
jichtig	adjectief	1.0	413618	501017	geteisterd door, onderhevig aan jicht;  oneigenlijk ook: alsof men lijdt aan jicht;  kreupel;  stram;  stroef	aan jicht lijdend
kas	substantief	3.0	78232	657775	geld dat een organisatie ter beschikking heeft;  geldkas;  soms ook: geldvoorraad met een specifiek oormerk;  fonds geld uit de kas gebruiken terwijl het niet de bedoeling is of zelfs verboden is;  geld uit een kas stelen;  geld onteigenen geld uit de kas gebruiken terwijl het niet de bedoeling is of zelfs verboden is;  geld uit een kas stelen;  geld onteigenen ter beschikking hebben;  als reserve vasthouden geld uit de kas gebruiken terwijl het niet de bedoeling is of zelfs verboden is;  geld uit een kas stelen;  geld onteigenen er met het geld vandoor gaan of zijn;  het geld stelen en verdwijnen over voldoende geld beschikken over weinig geld beschikken;  weinig geld hebben een kas met zwart geld;  een kas die niet bij de belastingdienst bekend is	geldvoorraad
kasba	substantief	2.0	408323	658568	gedeelte van een medina, van een Arabische wijk of van een wijk met veel immigranten waar handel bedreven wordt;  daarom ook: overdekte Arabische markt	handelsgedeelte van de medina
kassei	substantief	1.0	78263	78264	dikke, min of meer vierkante straatsteen met een afgeronde bovenkant heel erg pochen heel erg vriezen zeer moeilijk te aanvaarden zijn goed over de kasseien kunnen fietsen;  bij uitbreiding ook: goed kunnen wielrennen	straatsteen
kathedraal	substantief	A.1.0	78365	78366	"kerk die in de katholieke, de anglicaanse en de orthodoxe kerken dient als hoofdkerk van een bisdom;  hoofdkerk, waarin de bisschop zetelt, die meestal gelegen is in de hoofdplaats van dat bisdom en die heel vaak een majestueus historisch gebouw is; kerk die vroeger deze functie had maar de titel behouden heeft;  soms ook: grote, meestal historische kerk die niet gerechtigd is om die titel te dragen, maar in de volksmond wel zo wordt genoemd iets wat door zijn uitzicht of zijn bouw doet denken aan een kathedraal, vooral een imposant natuurverschijnsel of een ontzagwekkend gebouw plaats die wordt beschouwd als een soort ""heiligdom"" waar een activiteit wordt beoefend in haar meest intense of meest verheven vorm;  plaats waar een profane activiteit wordt beoefend als was het een soort eredienst monumentaal werkstuk van het menselijke scheppingsvermogen;  verheven voortbrengsel van de menselijke geest"	hoofdkerk van een bisdom iets groots profaan heiligdom groots werkstuk
kelder	substantief	1.0	78864	78865	veelal gemetseld of betonnen vertrek in een huis of gebouw, dat beneden de begane grond ligt en daardoor meestal minder geschikt is voor bewoning of verblijf en vooral voor louter praktische doelen dient, als opslagruimte e.d.;  vertrek onder een huis of gebouw kelder die dient om alcoholische drank in te bewaren en daartoe in principe voldoet aan een aantal eisen zoals een min of meer constante temperatuur, de juiste vochtigheid en de afwezigheid van ultraviolet licht, geuren en trillingen;  kelder voor opslag van wijn, bier, cognac enz. afzonderlijk bewoonde ruimte onder een huis, vaak met een eigen toegang aan de straat;  kelderwoning afzonderlijke, tot een uitgaansgelegenheid ingerichte ruimte onder een huis, vaak met een eigen toegang aan de straat;  metonymisch ook: een dergelijke zaak uitgebaat in een kelder	vertrek onder een huis of gebouw kelder voor opslag van dranken kelderwoning kelder als uitgaansgelegenheid
kelder	substantief	1.3	78864	569683	afzonderlijke, tot een uitgaansgelegenheid ingerichte ruimte onder een huis, vaak met een eigen toegang aan de straat;  metonymisch ook: een dergelijke zaak uitgebaat in een kelder	kelder als uitgaansgelegenheid
kerstdag	substantief	2.0	79376	541314	elk van beide dagen van het kerstfeest, de dag van 25 of 26 december, of ruimer ook: dag uit de periode rond Kerstmis	dag uit de kerstperiode
kiep	substantief	1.0	79805	79806	speler die de taak heeft het doel te verdedigen;  keeper;  doelverdediger keeper die deelneemt aan het veldspel door vaak buiten zijn doelgebied te komen;  daarnaast ook: keeper die zowel doelverdediger als veldspeler is iemand die tegelijkertijd meerdere en verschillende taken vervult of functies bekleedt;  in beperkter gebruik ook: iemand die voortdurend heen en weer reist om verschillende taken uit te voeren het doel (moeten) verdedigen;  keeper zijn	voetbalkeeper
kinderhoofdje	substantief	1.0	401232	660020	hoofdje van een kind;  in het bijzonder ook: hoofdje van een baby voorstelling van het hoofdje van een kind;  afbeelding van het hoofdje van een kind;  beeldhouwwerk van het hoofdje van een kind	hoofdje van een kind voorstelling van het hoofdje van een kind
kinderparadijs	substantief	1.0	80289	870643	paradijs voor kinderen;  oord dat voor kinderen buitengewoon aantrekkelijk is;  plek, plaats waar kinderen heel graag komen;  in het bijzonder ook: plaats met speciale attracties voor kinderen;  attractiepark voor kinderen	voor kinderen aantrekkelijk oord
kinderziekenhuis	substantief	1.0	80372	80373	ziekenhuis dat speciaal bestemd en toegerust is voor behandeling en/of opname van zieke kinderen;  ziekenhuis voor kinderen;  concreet en metonymisch ook: gebouw of gebouwencomplex waarin een dergelijk ziekenhuis gehuisvest is gebouw of gebouwencomplex van een ziekenhuis voor kinderen groep medewerkers van een kinderziekenhuis die verantwoordelijk is voor het beleid, voor de medische prestaties of voor het woordvoerderschap;  staf van een kinderziekenhuis	ziekenhuis voor kinderen gebouw(en) van een kinderziekenhuis staf van een kinderziekenhuis
klikhit	substantief	1.0	376579	376582	filmpje op YouTube dat zeer vaak aangeklikt wordt en dus uiterst succesvol is: ruimer ook: link op internet die zeer vaak aangeklikt wordt	succesvol internetfilmpje
kluunplaats	substantief	1.0	494340	494773	in de schaatssport: plaats waar men met de schaatsen ondergebonden over het land moet lopen, vaak bij bruggen waar het ijs niet dik genoeg is om alle schaatsenrijders te dragen of waar geen ijs ligt;  in de kanosport en roeisport vervolgens ook: plaats waar men met de kano, soms ook de roeiboot, over het land moet lopen, omdat het water ter plaatse niet te bevaren is of ontbreekt	plaats waar men moet klunen
kniezen	werkwoord	1.0	82357	82358	zich ongelukkig voelen;  een knagend verdriet hebben;  door verdriet of teleurstelling gekweld worden;  zichzelf beklagen vanwege werkelijk of vermeend leed;  met bijgedachte aan ontevredenheid ook: zichzelf min of meer misnoegd beklagen;  verongelijkt treuren	treuren
koopje	substantief	B.1.0	83807	530433	het tegen korting verkopen van goederen, bijvoorbeeld omdat deze weg moeten zoals aan het einde van een seizoen of na de feestdagen;   opruiming;   sale ook: periode waarin deze kortingen plaatsvinden;   koopjesperiode	solden; uitverkoop
koper	substantief	B.1.0	84011	84015	halfedel metaal met een roodachtig bruine kleur dat door oxidatie groen verkleurt en vooral wordt gebruikt voor gebruiksvoorwerpen zoals ketels en kandelaars, voor waterleidingen en als geleidingsmateriaal voor elektriciteit of warmte voorwerpen van koper, zoals gebruiksvoorwerpen, siervoorwerpen, of onderdelen in de vorm van ornamenten, beslag of belegsel koperen blaasinstrumenten van een orkest, fanfare, band e.d.;  vervolgens ook: groep muzikanten in een ensemble die koperen blaasinstrumenten bespeelt	halfedel metaal koperen voorwerpen koperen blaasinstrumenten
koper	substantief	B.1.2	84011	84019	koperen blaasinstrumenten van een orkest, fanfare, band e.d.;  vervolgens ook: groep muzikanten in een ensemble die koperen blaasinstrumenten bespeelt	koperen blaasinstrumenten
kribbe	substantief	1.0	85339	85340	voederbak voor het vee in de stal voederbak waarin volgens het Bijbelverhaal de pasgeboren Jezus werd neergelegd;  vooral ook: beeldje van deze voederbak als onderdeel van een kerststal	voederbak bak waarin Jezus werd gelegd
kribbe	substantief	1.1	85339	85345	voederbak waarin volgens het Bijbelverhaal de pasgeboren Jezus werd neergelegd;  vooral ook: beeldje van deze voederbak als onderdeel van een kerststal	bak waarin Jezus werd gelegd
kwaad	substantief	B.2.0	86560	86562	iets wat slecht, nadelig of schadelijk is, zonder dat men daarbij denkt aan het morele;  iets slechts;  soms ook: onheil;  ongeluk	schade of nadeel
lager onderwijs	verbinding	1.0	318072	937223	het gestructureerd aanleren van kennis, vaardigheden en attitudes aan leerlingen in de leeftijd van zes tot twaalf jaar;  leerplichtig onderricht voor zes- tot twaalfjarigen;  concreet ook: geheel van lessen en oefeningen waardoor zes- tot twaalfjarige leerlingen hun kennis, vaardigheden en attitudes ontwikkelen	onderricht voor zes- tot twaalfjarigen
lamprei	substantief	2.0	87480	87482	jong van een konijn;  soms ook: jong van een haas	konijnenjong
lamzak	substantief	1.0	87506	87507	iemand die lui en slap gedrag vertoont;  lapzwans;  luiaard;  luilak;  nietsnut;  slappeling, ook: iemand die zich beroerd, vervelend gedraagt	lui persoon
landbouwalaam	substantief	1.0	365701	550104	gereedschap en materieel dat gebruikt wordt in de landbouw;  soms ook: stuk landbouwgereedschap	landbouwgereedschap
langoustine	substantief	1.0	87985	87986	kleine, oranje of roze zeekreeft die in de Atlantische Oceaan, de Noordzee en de Middellandse Zee voorkomt en zich, behalve door zijn geringe grootte (circa 10 tot 25 cm), kenmerkt door zijn slanke scharen en niervormige ogen;  Noorse kreeft vaak genoemd als ingrediënt van een gerecht en vervolgens metonymisch ook: gerecht met langoustine als hoofdbestanddeel	soort kreeft als ingrediënt of gerecht
langoustine	substantief	1.1	87985	87987	vaak genoemd als ingrediënt van een gerecht en vervolgens metonymisch ook: gerecht met langoustine als hoofdbestanddeel	als ingrediënt of gerecht
lastbrief	substantief	1.0	460046	519435	"brief die, document dat als bewijs dient dat een bepaalde opdracht (""last"") is gegeven, bijvoorbeeld door een bedrijf aan een uitvoerder van een project;  in historiserend gebruik ook: brief, geschrift waarin aangegeven wordt dat men gemachtigd is om een bevel uit te voeren;  bevelschrift"	machtiging om een opdracht uit te voeren
leverancier	substantief	3.0	90086	375041	bedrijf dat aan een afnemer (regelmatig) iets levert, bv. een product, dienst of goederen;  specifiek ook: bedrijf dat aan een afnemer energie, gas of elektriciteit levert land dat, bedrijven in een land die aan een afnemer, vaak een ander land, iets levert	bedrijf dat goederen levert land dat iets levert
liefhebberstoneel	substantief	1.0	365730	550198	toneel gespeeld door liefhebbers;  toneel gespeeld door amateurs;  soms ook: amateurtoneelgezelschap	amateurtoneel
lilliputter	substantief	2.0	91125	664481	iemand die, vaak als gevolg van een groeistoornis, zeer klein is gebleven;  dwerg;  vervolgens ook: iemand die zo klein is dat hij of zij vergeleken kan worden met een dwerg;  kabouter	klein mens
loggia	substantief	1.0	91759	91760	galerij of ruimte aan of in de gevel van een huis of gebouw, dat aan een of meer zijden open is en vaak door zuilen wordt gedragen; vrijstaande zuilengalerij in een tuin;  als moderne variant ook: inpandig balkon, met name in een schuin vlak van een dak	galerij of balkon
luw	adjectief	2.0	93131	93133	gekenmerkt door milde, gematigde weersomstandigheden;  soms ook: zacht, mild voor de tijd van het jaar	zacht, mild
maand	substantief	2.0	93482	537997	periode van ongeveer dertig opeenvolgende dagen, gerekend vanaf een willekeurig tijdstip tot dezelfde dag in de volgende kalendermaand;  ruimer ook: periode van ongeveer vier weken de eerstvolgende maanden de meest recente maanden;  de laatste maanden;  de afgelopen maanden ruim een maand;  iets meer dan een maand ruim een maand;  iets meer dan een maand bijna een maand;  iets minder dan een maand een maand die lang duurt voor het gevoel een volledige maand een maand daarvoor;  in, tijdens de maand daarvoor de maand, respectievelijk de maanden waarop plaatsvindt wat in de  van -bepaling wordt genoemd slechts een klein aantal maanden;  weinig maanden sinds ongeveer een maand telkens weer opnieuw gedurende een hele maand;  maanden na elkaar zonder onderbreking een groot aantal maanden;  talloze maanden een maand, beschouwd als een tijd die men met zekere activiteiten of op een specifieke wijze doorbrengt	periode van ongeveer 30 dagen maand doorgebracht op specifieke wijze
Maaswater	substantief	1.0	385478	877585	water dat zich in de rivier de Maas bevindt;  water van de rivier de Maas: ook: hoeveelheid water van de rivier de Maas	water van de rivier de Maas
marteko	substantief	1.0	365772	496956	meer bepaald ook: iemand die zich als een aap gedraagt	aap
martiaal	adjectief	2.0	95457	95459	geschikt en volop bereid om te strijden;  van zaken ook: uiting gevend aan krijgshaftigheid	krijgshaftig
master	substantief	3.0	95621	661534	titel of graad van master, toegekend na het voltooien van een opleiding van de tweede cyclus van het hoger onderwijs;  concreet ook: diploma dat deze graad bevestigt	titel of graad van master
mazout	substantief	1.0	96113	96114	brandstof voor dieselmotoren of verwamingsinstallaties;  vaak ook: dieselolie;  diesel	stookolie
mededader	substantief	1.0	96276	96277	in strafrechtelijke zin: iemand die rechtstreeks aan een misdrijf heeft meegewerkt, onmisbare hulp heeft verleend of rechtstreeks tot het misdrijf heeft aangezet;  in algemeen taalgebruik ook: iemand die medeschuldig is aan een misdaad enz.	medepleger van een misdaad
medeplichtig	adjectief	1.0	96390	96391	in strafrechtelijke zin: schuldig aan opzettelijke behulpzaamheid bij het plegen van een misdaad of wanbedrijf, waarbij de hulp echter als bijkomstig, niet-noodzakelijk wordt aangemerkt, in tegenstelling tot onmisbare hulp die tot mededaderschap leidt;  in algemeen taalgebruik ook: medeschuldig aan een misdaad, wantoestand enz., veelal met de bijgedachte dat men niet de hoofddader of de belangrijkste veroorzaker is	medeschuldig
medeplichtige	substantief	1.0	96401	96402	in strafrechtelijke zin: iemand die opzettelijk behulpzaam is geweest bij het plegen van een misdaad of wanbedrijf maar bijkomstige, niet-noodzakelijke hulp verleende, in tegenstelling tot de onmisbare hulp die als criterium geldt voor mededaderschap;  in algemeen taalgebruik ook: iemand die medeschuldig is aan een misdaad, wantoestand enz., veelal met de bijgedachte dat men niet de hoofddader of de belangrijkste veroorzaker is	medeschuldige
